UTC,Open,High,Low,Close,Volume
27.01.2025 18:39:00.000 UTC,2736.425,2736.725,2736.215,2736.625,0.01032
27.01.2025 18:40:00.000 UTC,2736.655,2737.035,2736.505,2736.815,0.01236
27.01.2025 18:41:00.000 UTC,2736.695,2737.375,2736.685,2737.045,0.01092
27.01.2025 18:42:00.000 UTC,2737.065,2737.065,2736.455,2736.645,0.01056
27.01.2025 18:43:00.000 UTC,2736.665,2737.155,2736.375,2737.125,0.01128
27.01.2025 18:44:00.000 UTC,2737.155,2737.315,2736.815,2736.835,0.01783
27.01.2025 18:45:00.000 UTC,2736.855,2737.355,2736.715,2737.155,0.00876
27.01.2025 18:46:00.000 UTC,2737.145,2737.615,2736.925,2737.615,0.00972
27.01.2025 18:47:00.000 UTC,2737.525,2737.615,2737.115,2737.285,0.01248
27.01.2025 18:48:00.000 UTC,2737.335,2737.335,2736.495,2736.585,0.01152
27.01.2025 18:49:00.000 UTC,2736.545,2737.035,2736.415,2737.035,0.01272
27.01.2025 18:50:00.000 UTC,2736.965,2737.355,2736.745,2737.245,0.0148
27.01.2025 18:51:00.000 UTC,2737.205,2737.225,2736.665,2737.035,0.01293
27.01.2025 18:52:00.000 UTC,2737.075,2737.355,2736.745,2737.355,0.00948
27.01.2025 18:53:00.000 UTC,2737.325,2737.435,2736.765,2736.855,0.01342
27.01.2025 18:54:00.000 UTC,2736.735,2736.765,2736.385,2736.615,0.01479
27.01.2025 18:55:00.000 UTC,2736.615,2736.865,2736.595,2736.735,0.00972
27.01.2025 18:56:00.000 UTC,2736.765,2736.945,2736.395,2736.655,0.01411
27.01.2025 18:57:00.000 UTC,2736.665,2736.935,2736.455,2736.935,0.01977
27.01.2025 18:58:00.000 UTC,2736.905,2737.145,2736.585,2736.585,0.01596
27.01.2025 18:59:00.000 UTC,2736.625,2737.145,2736.555,2736.825,0.03124
27.01.2025 19:00:00.000 UTC,2736.785,2737.545,2736.785,2737.075,0.01458
27.01.2025 19:01:00.000 UTC,2737.005,2737.555,2736.935,2737.465,0.01992
27.01.2025 19:02:00.000 UTC,2737.445,2737.805,2737.018,2737.635,0.01801
27.01.2025 19:03:00.000 UTC,2737.725,2737.725,2737.425,2737.505,0.02313
27.01.2025 19:04:00.000 UTC,2737.535,2737.615,2736.815,2737.125,0.01293
27.01.2025 19:05:00.000 UTC,2737.195,2737.725,2736.585,2737.645,0.02265
27.01.2025 19:06:00.000 UTC,2737.705,2737.735,2737.245,2737.375,0.03198
27.01.2025 19:07:00.000 UTC,2737.368,2737.775,2737.145,2737.585,0.02331
27.01.2025 19:08:00.000 UTC,2737.555,2737.855,2737.535,2737.775,0.0162
27.01.2025 19:09:00.000 UTC,2737.755,2738.055,2737.455,2737.715,0.02481
27.01.2025 19:10:00.000 UTC,2737.725,2737.925,2737.475,2737.775,0.01953
27.01.2025 19:11:00.000 UTC,2737.735,2738.455,2737.605,2737.975,0.03453
27.01.2025 19:12:00.000 UTC,2737.945,2738.345,2737.755,2738.025,0.01512
27.01.2025 19:13:00.000 UTC,2738.055,2738.555,2737.895,2738.235,0.01832
27.01.2025 19:14:00.000 UTC,2738.225,2738.525,2738.125,2738.285,0.0117
27.01.2025 19:15:00.000 UTC,2738.255,2738.985,2738.095,2738.925,0.01231
27.01.2025 19:16:00.000 UTC,2738.965,2739.865,2738.855,2739.805,0.01152
27.01.2025 19:17:00.000 UTC,2739.775,2739.895,2739.425,2739.855,0.01452
27.01.2025 19:18:00.000 UTC,2739.878,2740.075,2739.618,2739.865,0.01443
27.01.2025 19:19:00.000 UTC,2739.845,2740.365,2739.845,2740.155,0.01278
27.01.2025 19:20:00.000 UTC,2740.185,2740.185,2738.818,2738.928,0.02225
27.01.2025 19:21:00.000 UTC,2738.928,2739.548,2738.745,2739.438,0.02447
27.01.2025 19:22:00.000 UTC,2739.585,2739.748,2739.298,2739.648,0.02596
27.01.2025 19:23:00.000 UTC,2739.648,2740.058,2739.648,2740.048,0.02443
27.01.2025 19:24:00.000 UTC,2740.048,2740.285,2739.948,2740.048,0.03114
27.01.2025 19:25:00.000 UTC,2740.148,2740.248,2739.348,2739.448,0.03136
27.01.2025 19:26:00.000 UTC,2739.348,2739.888,2739.248,2739.648,0.02052
27.01.2025 19:27:00.000 UTC,2739.658,2739.748,2738.675,2738.695,0.04539
27.01.2025 19:28:00.000 UTC,2738.695,2739.235,2738.455,2738.595,0.01996
27.01.2025 19:29:00.000 UTC,2738.555,2738.945,2738.335,2738.945,0.01275
27.01.2025 19:30:00.000 UTC,2738.915,2738.915,2738.215,2738.265,0.01581
27.01.2025 19:31:00.000 UTC,2738.215,2738.425,2738.045,2738.185,0.0156
27.01.2025 19:32:00.000 UTC,2738.245,2738.735,2738.195,2738.425,0.01988
27.01.2025 19:33:00.000 UTC,2738.295,2738.725,2738.235,2738.425,0.018
27.01.2025 19:34:00.000 UTC,2738.455,2738.625,2737.905,2738.575,0.01704
27.01.2025 19:35:00.000 UTC,2738.605,2738.685,2738.065,2738.065,0.0171
27.01.2025 19:36:00.000 UTC,2738.095,2738.385,2737.415,2737.475,0.01593
27.01.2025 19:37:00.000 UTC,2737.495,2737.685,2737.185,2737.495,0.01923
27.01.2025 19:38:00.000 UTC,2737.508,2738.295,2737.508,2738.095,0.01236
27.01.2025 19:39:00.000 UTC,2738.055,2738.085,2737.705,2738.085,0.0168
27.01.2025 19:40:00.000 UTC,2738.075,2738.125,2737.695,2738.035,0.01338
27.01.2025 19:41:00.000 UTC,2738.055,2738.295,2737.415,2737.535,0.02313
27.01.2025 19:42:00.000 UTC,2737.415,2737.545,2736.805,2737.005,0.0177
27.01.2025 19:43:00.000 UTC,2737.035,2737.825,2736.875,2737.675,0.0192
27.01.2025 19:44:00.000 UTC,2737.705,2738.185,2737.705,2738.125,0.01416
27.01.2025 19:45:00.000 UTC,2738.105,2739.285,2738.105,2739.205,0.01356
27.01.2025 19:46:00.000 UTC,2739.275,2739.375,2738.955,2738.995,0.01392
27.01.2025 19:47:00.000 UTC,2739.045,2739.395,2738.485,2738.485,0.01716
27.01.2025 19:48:00.000 UTC,2738.585,2738.645,2738.475,2738.485,0.01095
27.01.2025 19:49:00.000 UTC,2738.425,2738.825,2738.325,2738.725,0.01641
27.01.2025 19:50:00.000 UTC,2738.755,2738.845,2738.205,2738.625,0.01716
27.01.2025 19:51:00.000 UTC,2738.655,2738.655,2738.195,2738.285,0.01488
27.01.2025 19:52:00.000 UTC,2738.315,2738.445,2737.675,2737.675,0.01867
27.01.2025 19:53:00.000 UTC,2737.705,2738.485,2737.705,2738.435,0.01056
27.01.2025 19:54:00.000 UTC,2738.435,2738.565,2738.135,2738.335,0.01092
27.01.2025 19:55:00.000 UTC,2738.375,2739.095,2738.375,2738.585,0.01413
27.01.2025 19:56:00.000 UTC,2738.625,2738.975,2738.305,2738.915,0.01236
27.01.2025 19:57:00.000 UTC,2738.975,2739.325,2738.775,2739.045,0.01483
27.01.2025 19:58:00.000 UTC,2739.025,2739.135,2738.748,2739.085,0.0156
27.01.2025 19:59:00.000 UTC,2739.055,2739.225,2738.785,2739.185,0.02788
27.01.2025 20:00:00.000 UTC,2739.205,2739.225,2738.605,2738.678,0.05847
27.01.2025 20:01:00.000 UTC,2738.655,2738.895,2738.225,2738.365,0.05265
27.01.2025 20:02:00.000 UTC,2738.405,2738.705,2738.025,2738.635,0.05085
27.01.2025 20:03:00.000 UTC,2738.645,2738.655,2738.245,2738.425,0.03957
27.01.2025 20:04:00.000 UTC,2738.475,2738.975,2738.395,2738.605,0.01884
27.01.2025 20:05:00.000 UTC,2738.625,2738.625,2738.285,2738.415,0.02682
27.01.2025 20:06:00.000 UTC,2738.495,2738.565,2737.935,2738.045,0.03087
27.01.2025 20:07:00.000 UTC,2738.125,2738.785,2738.125,2738.675,0.02577
27.01.2025 20:08:00.000 UTC,2738.685,2739.425,2738.585,2739.085,0.01932
27.01.2025 20:09:00.000 UTC,2739.115,2739.495,2739.065,2739.115,0.02004
27.01.2025 20:10:00.000 UTC,2739.145,2739.455,2739.145,2739.335,0.01644
27.01.2025 20:11:00.000 UTC,2739.335,2740.065,2739.335,2739.855,0.02367
27.01.2025 20:12:00.000 UTC,2739.828,2739.845,2739.285,2739.305,0.01851
27.01.2025 20:13:00.000 UTC,2739.288,2739.288,2738.935,2738.985,0.02034
27.01.2025 20:14:00.000 UTC,2739.005,2739.195,2738.865,2739.085,0.0213
27.01.2025 20:15:00.000 UTC,2738.948,2739.355,2738.775,2739.205,0.01809
27.01.2025 20:16:00.000 UTC,2739.315,2739.555,2739.195,2739.355,0.01947
27.01.2025 20:17:00.000 UTC,2739.325,2739.545,2739.085,2739.095,0.03363
27.01.2025 20:18:00.000 UTC,2739.165,2739.335,2738.915,2738.935,0.02556
27.01.2025 20:19:00.000 UTC,2738.915,2739.425,2738.845,2739.145,0.03117
27.01.2025 20:20:00.000 UTC,2739.225,2739.225,2738.605,2738.715,0.01989
27.01.2025 20:21:00.000 UTC,2738.685,2738.955,2738.415,2738.675,0.02322
27.01.2025 20:22:00.000 UTC,2738.685,2738.865,2738.465,2738.835,0.02466
27.01.2025 20:23:00.000 UTC,2738.845,2739.275,2738.795,2739.205,0.02181
27.01.2025 20:24:00.000 UTC,2739.205,2739.715,2739.205,2739.715,0.02322
27.01.2025 20:25:00.000 UTC,2739.715,2739.795,2739.348,2739.575,0.0462
27.01.2025 20:26:00.000 UTC,2739.575,2739.595,2739.305,2739.545,0.04275
27.01.2025 20:27:00.000 UTC,2739.655,2739.895,2739.465,2739.565,0.01896
27.01.2025 20:28:00.000 UTC,2739.595,2739.725,2738.915,2738.995,0.02922
27.01.2025 20:29:00.000 UTC,2739.035,2739.515,2738.925,2739.265,0.02466
27.01.2025 20:30:00.000 UTC,2739.235,2739.705,2738.875,2739.545,0.03984
27.01.2025 20:31:00.000 UTC,2739.525,2740.215,2739.485,2740.215,0.04302
27.01.2025 20:32:00.000 UTC,2740.205,2740.475,2739.965,2740.255,0.03879
27.01.2025 20:33:00.000 UTC,2740.275,2740.665,2739.995,2740.555,0.03288
27.01.2025 20:34:00.000 UTC,2740.535,2740.745,2740.295,2740.675,0.03954
27.01.2025 20:35:00.000 UTC,2740.668,2741.125,2740.635,2740.955,0.03927
27.01.2025 20:36:00.000 UTC,2740.985,2741.475,2740.865,2741.475,0.04077
27.01.2025 20:37:00.000 UTC,2741.475,2742.075,2741.398,2742.075,0.05925
27.01.2025 20:38:00.000 UTC,2742.065,2742.365,2741.565,2741.585,0.0396
27.01.2025 20:39:00.000 UTC,2741.588,2741.795,2740.995,2741.055,0.04272
27.01.2025 20:40:00.000 UTC,2741.055,2741.685,2740.995,2741.595,0.06
27.01.2025 20:41:00.000 UTC,2741.705,2741.815,2741.198,2741.225,0.04086
27.01.2025 20:42:00.000 UTC,2741.245,2741.538,2740.898,2741.145,0.04257
27.01.2025 20:43:00.000 UTC,2741.105,2741.445,2741.098,2741.135,0.02586
27.01.2025 20:44:00.000 UTC,2741.165,2741.435,2741.098,2741.435,0.03141
27.01.2025 20:45:00.000 UTC,2741.455,2741.845,2741.345,2741.498,0.02445
27.01.2025 20:46:00.000 UTC,2741.455,2741.635,2741.405,2741.555,0.01389
27.01.2025 20:47:00.000 UTC,2741.535,2741.645,2741.198,2741.245,0.02127
27.01.2025 20:48:00.000 UTC,2741.215,2741.365,2740.605,2740.735,0.05808
27.01.2025 20:49:00.000 UTC,2740.728,2741.225,2740.725,2741.015,0.04728
27.01.2025 20:50:00.000 UTC,2741.015,2741.265,2740.798,2741.098,0.06078
27.01.2025 20:51:00.000 UTC,2741.098,2741.335,2740.998,2741.315,0.05349
27.01.2025 20:52:00.000 UTC,2741.308,2741.415,2741.098,2741.098,0.05661
27.01.2025 20:53:00.000 UTC,2741.125,2741.175,2740.595,2740.805,0.0861
27.01.2025 20:54:00.000 UTC,2740.698,2740.995,2740.605,2740.798,0.10812
27.01.2025 20:55:00.000 UTC,2740.875,2741.258,2740.485,2740.898,0.04564
27.01.2025 20:56:00.000 UTC,2740.875,2740.925,2740.748,2740.848,0.04131
27.01.2025 20:57:00.000 UTC,2740.848,2741.265,2740.748,2741.235,0.10782
27.01.2025 20:58:00.000 UTC,2741.245,2741.285,2740.695,2740.775,0.12153
27.01.2025 20:59:00.000 UTC,2740.845,2741.375,2740.745,2741.338,0.1161
27.01.2025 21:00:00.000 UTC,2741.368,2741.548,2740.925,2741.188,0.02987
27.01.2025 21:01:00.000 UTC,2740.998,2741.235,2740.725,2741.195,0.02134
27.01.2025 21:02:00.000 UTC,2741.175,2741.685,2741.165,2741.515,0.01902
27.01.2025 21:03:00.000 UTC,2741.405,2741.685,2741.375,2741.675,0.0166
27.01.2025 21:04:00.000 UTC,2741.755,2741.785,2741.615,2741.765,0.01036
27.01.2025 21:05:00.000 UTC,2741.765,2742.125,2741.668,2741.708,0.01319
27.01.2025 21:06:00.000 UTC,2741.708,2741.718,2741.688,2741.718,0.00291
27.01.2025 21:07:00.000 UTC,2741.688,2742.798,2741.668,2742.698,0.01901
27.01.2025 21:08:00.000 UTC,2742.678,2742.848,2742.578,2742.598,0.01086
27.01.2025 21:09:00.000 UTC,2742.598,2743.175,2742.598,2743.068,0.01045
27.01.2025 21:10:00.000 UTC,2743.068,2743.188,2742.798,2742.898,0.0109
27.01.2025 21:11:00.000 UTC,2742.935,2742.935,2742.588,2742.855,0.00822
27.01.2025 21:12:00.000 UTC,2742.858,2743.465,2742.815,2743.455,0.0137
27.01.2025 21:13:00.000 UTC,2743.418,2743.475,2743.288,2743.418,0.01098
27.01.2025 21:14:00.000 UTC,2743.318,2743.465,2743.258,2743.315,0.01294
27.01.2025 21:15:00.000 UTC,2743.315,2743.345,2742.605,2742.895,0.0171
27.01.2025 21:16:00.000 UTC,2742.895,2743.115,2742.785,2742.875,0.01366
27.01.2025 21:17:00.000 UTC,2743.015,2743.015,2742.645,2742.718,0.01346
27.01.2025 21:18:00.000 UTC,2742.755,2743.205,2742.618,2743.195,0.01252
27.01.2025 21:19:00.000 UTC,2743.195,2743.195,2742.955,2742.965,0.00491
27.01.2025 21:20:00.000 UTC,2742.925,2743.085,2742.635,2743.028,0.01052
